38,"H24{3.161736, 0, -0.597228}"
38,"H35{2.949179, 0, 1.673512}"
38,"H45{3.561751, 0, 1.769202}"
39,"P0{0, 0, 0}"
39,"P1{-0.1453, 0, -1.1232}"
39,"S01{1.007234, 0, -1.24383}"
39,"H02{0.187748, 0, -0.23185}"
39,"H13{2.311281, 0, -1.380318}"
39,"H23{2.503047, 0, -0.474699}"
39,"H24{3.171381, 0, -0.544799}"
39,"H35{2.966314, 0, 1.71309}"
39,"H45{3.576906, 0, 1.820692}"
40,"P0{0, 0, 0}"
40,"P1{-0.1453, 0, -1.1232}"
40,"S01{1.028788, 0, -1.226062}"
40,"H02{0.191766, 0, -0.228538}"
40,"H13{2.315275, 0, -1.338771}"
40,"H23{2.510688, 0, -0.433931}"
40,"H24{3.180067, 0, -0.49322}"
40,"H35{2.982764, 0, 1.751974}"
40,"H45{3.591172, 0, 1.871308}"
41,"P0{0, 0, 0}"
41,"P1{-0.1453, 0, -1.1232}"
41,"S01{1.050029, 0, -1.20792}"
41,"H02{0.195725, 0, -0.225156}"
41,"H13{2.318519, 0, -1.297826}"
41,"H23{2.51761, 0, -0.393789}"
41,"H24{3.187844, 0, -0.442466}"
41,"H35{2.998571, 0, 1.790179}"
41,"H45{3.604596, 0, 1.921073}"
42,"P0{0, 0, 0}"
42,"P1{-0.1453, 0, -1.1232}"
42,"S01{1.07095, 0, -1.189411}"
42,"H02{0.199625, 0, -0.221706}"
42,"H13{2.321048, 0, -1.257464}"
42,"H23{2.523849, 0, -0.354252}"
42,"H24{3.194759, 0, -0.392512}"
42,"H35{3.013773, 0, 1.827722}"
42,"H45{3.617225, 0, 1.970012}"
43,"P0{0, 0, 0}"
43,"P1{-0.1453, 0, -1.1232}"
43,"S01{1.091545, 0, -1.170539}"
43,"H02{0.203464, 0, -0.218188}"
43,"H13{2.322893, 0, -1.217667}"
43,"H23{2.529437, 0, -0.315304}"
43,"H24{3.200852, 0, -0.343337}"
43,"H35{3.028407, 0, 1.86462}"
43,"H45{3.629097, 0, 2.018147}"
44,"P0{0, 0, 0}"
44,"P1{-0.1453, 0, -1.1232}"
44,"S01{1.111808, 0, -1.151311}"
44,"H02{0.207241, 0, -0.214604}"
44,"H13{2.324083, 0, -1.178419}"
44,"H23{2.534406, 0, -0.276928}"
44,"H24{3.206166, 0, -0.294919}"
44,"H35{3.042505, 0, 1.900885}"
44,"H45{3.640253, 0, 2.065498}"
45,"P0{0, 0, 0}"
45,"P1{-0.1453, 0, -1.1232}"
45,"S01{1.131731, 0, -1.131731}"
45,"H02{0.210955, 0, -0.210955}"
45,"H13{2.324645, 0, -1.139701}"
45,"H23{2.538784, 0, -0.23911}"
45,"H24{3.210735, 0, -0.247237}"
45,"H35{3.056101, 0, 1.936533}"
45,"H45{3.650728, 0, 2.112086}"
46,"P0{0, 0, 0}"
46,"P1{-0.1453, 0, -1.1232}"
46,"S01{1.151311, 0, -1.111808}"
46,"H02{0.214604, 0, -0.207241}"
46,"H13{2.324605, 0, -1.101499}"
46,"H23{2.542598, 0, -0.201833}"
46,"H24{3.214596, 0, -0.200271}"
46,"H35{3.069225, 0, 1.971575}"
46,"H45{3.660555, 0, 2.157932}"
47,"P0{0, 0, 0}"
47,"P1{-0.1453, 0, -1.1232}"
47,"S01{1.170539, 0, -1.091545}"
47,"H02{0.218188, 0, -0.203464}"
47,"H13{2.323986, 0, -1.063797}"
47,"H23{2.545872, 0, -0.165083}"
47,"H24{3.217781, 0, -0.154004}"
47,"H35{3.081904, 0, 2.006024}"
47,"H45{3.669765, 0, 2.203052}"
48,"P0{0, 0, 0}"
48,"P1{-0.1453, 0, -1.1232}"
48,"S01{1.189411, 0, -1.07095}"
48,"H02{0.221706, 0, -0.199625}"
48,"H13{2.32281, 0, -1.026581}"
48,"H23{2.54863, 0, -0.128848}"
48,"H24{3.220319, 0, -0.108417}"
48,"H35{3.094165, 0, 2.039891}"
48,"H45{3.678386, 0, 2.247464}"
49,"P0{0, 0, 0}"
49,"P1{-0.1453, 0, -1.1232}"
49,"S01{1.20792, 0, -1.050029}"
49,"H02{0.225156, 0, -0.195725}"
49,"H13{2.321097, 0, -0.989838}"
49,"H23{2.550894, 0, -0.093114}"
49,"H24{3.222241, 0, -0.063494}"
49,"H35{3.106035, 0, 2.073186}"
49,"H45{3.686446, 0, 2.291185}"
50,"P0{0, 0, 0}"
50,"P1{-0.1453, 0, -1.1232}"
50,"S01{1.226062, 0, -1.028788}"
50,"H02{0.228538, 0, -0.191766}"
50,"H13{2.318867, 0, -0.953553}"
50,"H23{2.552684, 0, -0.057869}"
50,"H24{3.223572, 0, -0.019218}"
50,"H35{3.117537, 0, 2.105919}"
50,"H45{3.693969, 0, 2.334231}"
51,"P0{0, 0, 0}"
51,"P1{-0.1453, 0, -1.1232}"
51,"S01{1.24383, 0, -1.007234}"
51,"H02{0.23185, 0, -0.187748}"
51,"H13{2.316138, 0, -0.917716}"
